valid_time,latitude,longitude,tp,number
1981-04-20,48.4,8.45,0.0006857676,0
1981-04-20,48.65,8.2,0.00049077015,0
1981-04-20,48.65,8.45,0.00074307347,0
1981-04-21,48.65,8.2,0.0,0
1981-04-21,48.65,8.45,0.0,0
1981-04-21,48.4,8.2,0.0,0
1981-04-21,48.4,8.45,0.0,0
1981-04-22,48.65,8.2,1.334303e-06,0
1981-04-22,48.65,8.45,1.7165307e-06,0
1981-04-22,48.4,8.2,8.580588e-07,0
1981-04-22,48.4,8.45,8.580588e-07,0
1981-04-23,48.4,8.45,1.773481e-05,0
1981-04-23,48.65,8.2,6.7830355e-05,0
1981-04-23,48.65,8.45,0.00011308129,0
1981-04-23,48.4,8.2,1.3829353e-05,0
1981-04-24,48.4,8.2,5.443435e-06,0
1981-04-24,48.4,8.45,1.2397606e-05,0
1981-04-24,48.65,8.2,1.5265396e-06,0
1981-04-24,48.65,8.45,3.1516392e-06,0
1981-04-25,48.65,8.2,0.00012416852,0
1981-04-25,48.65,8.45,0.00021044885,0
1981-04-25,48.4,8.2,0.00019179446,0
1981-04-25,48.4,8.45,0.00023960361,0
1981-04-26,48.65,8.2,0.0071654925,0
1981-04-26,48.65,8.45,0.008944451,0
1981-04-26,48.4,8.2,0.0073828707,0
1981-04-26,48.4,8.45,0.0080975285,0
1981-04-27,48.65,8.2,0.016972655,0
1981-04-27,48.65,8.45,0.016449608,0
1981-04-27,48.4,8.2,0.014417807,0
1981-04-27,48.4,8.45,0.014195181,0
1981-04-28,48.4,8.45,0.006961945,0
1981-04-28,48.4,8.2,0.007835483,0
1981-04-28,48.65,8.45,0.007442301,0
1981-04-28,48.65,8.2,0.007506818,0
1981-04-29,48.65,8.2,0.0036222874,0
1981-04-29,48.65,8.45,0.0030434337,0
1981-04-29,48.4,8.2,0.0033801822,0
1981-04-29,48.4,8.45,0.0025197873,0
1981-04-30,48.65,8.2,0.004572016,0
1981-04-30,48.65,8.45,0.003997066,0
1981-04-30,48.4,8.2,0.0036884143,0
1981-04-30,48.4,8.45,0.0026588768,0
1981-05-01,48.4,8.45,0.013002232,0
1981-05-01,48.65,8.2,0.010671591,0
1981-05-01,48.65,8.45,0.011755548,0
1981-05-01,48.4,8.2,0.014021652,0
1981-05-02,48.4,8.2,0.00051363587,0
1981-05-02,48.4,8.45,0.000658995,0
1981-05-02,48.65,8.2,0.00026772812,0
1981-05-02,48.65,8.45,0.00030683994,0
1981-05-03,48.4,8.45,0.0012046902,0
1981-05-03,48.4,8.2,0.0010218719,0
1981-05-03,48.65,8.45,0.001293936,0
1981-05-03,48.65,8.2,0.00099207,0
1981-05-04,48.65,8.2,0.0077005927,0
1981-05-04,48.65,8.45,0.007931195,0
1981-05-04,48.4,8.2,0.007543181,0
1981-05-04,48.4,8.45,0.007838955,0
1981-05-05,48.65,8.2,0.0043044174,0
1981-05-05,48.65,8.45,0.0051749386,0
1981-05-05,48.4,8.2,0.0062238523,0
1981-05-05,48.4,8.45,0.007358524,0
1981-05-06,48.4,8.2,0.0032228038,0
1981-05-06,48.4,8.45,0.002624928,0
1981-05-06,48.65,8.2,0.00330461,0
1981-05-06,48.65,8.45,0.0030338236,0
1981-05-07,48.65,8.2,0.0,0
1981-05-07,48.65,8.45,0.0,0
1981-05-07,48.4,8.2,0.0,0
1981-05-07,48.4,8.45,0.0,0
1981-05-08,48.65,8.2,0.00017846597,0
1981-05-08,48.65,8.45,0.00024182617,0
1981-05-08,48.4,8.2,0.0005089333,0
1981-05-08,48.4,8.45,0.00058527075,0
1981-05-09,48.4,8.45,4.76839e-07,0
1981-05-09,48.65,8.2,1.9081745e-07,0
1981-05-09,48.65,8.45,1.9081745e-07,0
1981-05-09,48.4,8.2,9.2364735e-06,0
1981-05-10,48.4,8.2,4.995843e-05,0
1981-05-10,48.4,8.45,5.7004905e-05,0
1981-05-10,48.65,8.2,3.320222e-05,0
1981-05-10,48.65,8.45,3.6839894e-05,0
1981-05-11,48.65,8.2,0.0101675615,0
1981-05-11,48.65,8.45,0.009593313,0
1981-05-11,48.4,8.2,0.006067614,0
1981-05-11,48.4,8.45,0.0070658997,0
1981-05-12,48.65,8.2,0.0007317697,0
1981-05-12,48.65,8.45,0.0014988034,0
1981-05-12,48.4,8.2,0.0015838101,0
1981-05-12,48.4,8.45,0.0014729545,0
1981-05-13,48.65,8.2,0.0009199071,0
1981-05-13,48.65,8.45,0.0009208885,0
1981-05-13,48.4,8.2,0.0021852714,0
1981-05-13,48.4,8.45,0.001459905,0
1981-05-14,48.4,8.45,0.0016061211,0
1981-05-14,48.4,8.2,0.0014810205,0
1981-05-14,48.65,8.45,0.0012068357,0
1981-05-14,48.65,8.2,0.0007800765,0
1981-05-15,48.65,8.2,0.00018788717,0
1981-05-15,48.65,8.45,0.00026454008,0
1981-05-15,48.4,8.2,0.00069202774,0
1981-05-15,48.4,8.45,0.00037609623,0
1981-05-16,48.65,8.2,0.0049088625,0
1981-05-16,48.65,8.45,0.0064062476,0
1981-05-16,48.4,8.2,0.00611511,0
1981-05-16,48.4,8.45,0.008888021,0
1981-05-17,48.65,8.2,0.0027605055,0
1981-05-17,48.65,8.45,0.0035380374,0
1981-05-17,48.4,8.2,0.0027363035,0
1981-05-17,48.4,8.45,0.0036232986,0
1981-05-18,48.4,8.45,4.92306e-05,0
1981-05-18,48.4,8.2,2.0295185e-05,0
1981-05-18,48.65,8.45,1.1440701e-05,0
1981-05-18,48.65,8.2,0.0,0
1981-05-19,48.65,8.2,4.7665167e-06,0
1981-05-19,48.65,8.45,2.4698391e-05,0
1981-05-19,48.4,8.2,1.4151513e-05,0
1981-05-19,48.4,8.45,3.1287935e-05,0
1981-05-20,48.65,8.2,0.0,0
1981-05-20,48.65,8.45,0.0,0
1981-05-20,48.4,8.2,0.0,0
1981-05-20,48.4,8.45,0.0,0
1981-05-21,48.4,8.2,0.005622632,0
1981-05-21,48.4,8.45,0.0036651706,0
1981-05-21,48.65,8.2,0.0036655,0
1981-05-21,48.65,8.45,0.0032215344,0
1981-05-22,48.65,8.2,0.00996647,0
1981-05-22,48.65,8.45,0.011128659,0
1981-05-22,48.4,8.2,0.009395357,0
1981-05-22,48.4,8.45,0.009984322,0
1981-05-23,48.65,8.2,0.00016679474,0
1981-05-23,48.65,8.45,0.00024342023,0
1981-05-23,48.4,8.2,0.00020857296,0
1981-05-23,48.4,8.45,0.00032377144,0
1981-05-24,48.4,8.45,0.005521052,0
1981-05-24,48.65,8.2,0.006635313,0
1981-05-24,48.65,8.45,0.0067132623,0
1981-05-24,48.4,8.2,0.004721206,0
1981-05-25,48.4,8.2,0.021204924,0
1981-05-25,48.4,8.45,0.022879357,0
1981-05-25,48.65,8.2,0.016553968,0
1981-05-25,48.65,8.45,0.018521762,0
1981-05-26,48.65,8.2,0.00911438,0
1981-05-26,48.65,8.45,0.012800349,0
1981-05-26,48.4,8.2,0.013438918,0
1981-05-26,48.4,8.45,0.017904833,0
1981-05-27,48.65,8.2,0.011473635,0
1981-05-27,48.65,8.45,0.013409398,0
1981-05-27,48.4,8.2,0.012491341,0
1981-05-27,48.4,8.45,0.013576705,0
1981-05-28,48.65,8.2,0.0034162207,0
1981-05-28,48.65,8.45,0.0036582062,0
